motor_control,world_x,world_y,world_z,world_p,world_q,world_r,x_img,y_img,x_screen,y_screen,motor_0,motor_1,motor_2,motor_3,link_0,link_1,link_2,link_3
"0:10.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.0817278513181989,-0.2300330774489469,0.1014127741267755,0.0005888783367368,0.0001042223856305,-1.395625722418924,502,390,0.5687500000000001,-0.625,10.0,10.0,170.0,90.0,0.1,0.124,0.06,0.03
"0:10.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.0800808157896286,-0.2207269818614345,0.1272530767158434,0.0016781277715728,0.0002970026104647,-1.3956259409359952,501,398,0.565625,-0.6583333333333334,10.0,30.0,150.0,90.0,0.1,0.124,0.06,0.03
"0:10.0,1:60.0,2:90.0,3:120.0,4:10.0,5:10.0",0.0720491198013552,-0.1753462178764935,0.0941054156700112,0.0015121004394052,0.0002676183706181,-1.3956258940647388,457,396,0.4281250000000001,-0.6499999999999999,10.0,60.0,90.0,120.0,0.1,0.124,0.06,0.03
"0:10.0,1:90.0,2:60.0,3:120.0,4:10.0,5:10.0",0.0650792145759429,-0.1359647940161474,0.104843242820233,0.0015121002798196,0.0002676183423745,-1.3956258940646955,427,404,0.3343750000000001,-0.6833333333333333,10.0,90.0,60.0,120.0,0.1,0.124,0.06,0.03
"0:10.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.0581060147865509,-0.0965647551794973,0.0941229174131164,0.0016779640385534,0.0002969736322872,-1.3956259408873688,395,407,0.234375,-0.6958333333333333,10.0,120.0,30.0,120.0,0.1,0.124,0.06,0.03
"0:10.0,1:150.0,2:30.0,3:90.0,4:10.0,5:10.0",0.0559316601097508,-0.084279195996073,0.1273357167785604,0.001677964196579,0.0002969736602551,-1.3956259408874154,388,417,0.2124999999999999,-0.7375,10.0,150.0,30.0,90.0,0.1,0.124,0.06,0.03
"0:10.0,1:170.0,2:10.0,3:90.0,4:10.0,5:10.0",0.0542703620611856,-0.0748925141843173,0.1014328348205558,0.0005051279469132,8.939985943811706e-05,-1.3956257143109545,378,412,0.1812499999999999,-0.7166666666666666,10.0,170.0,10.0,90.0,0.1,0.124,0.06,0.03
"0:30.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.1576260393375334,-0.2020380535828955,0.1014327429443125,0.0004444186616706,0.000256200379432,-1.0478473076301134,479,330,0.4968749999999999,-0.375,30.0,10.0,170.0,90.0,0.1,0.124,0.06,0.03
"0:30.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.1529072422192316,-0.1938525802056056,0.1272531141477207,0.001476296750007,0.0008510614250634,-1.0478478789097567,479,338,0.4968749999999999,-0.4083333333333334,30.0,30.0,150.0,90.0,0.1,0.124,0.06,0.03
"0:30.0,1:60.0,2:90.0,3:120.0,4:10.0,5:10.0",0.1298901687788188,-0.1539259554437438,0.0941054156990895,0.0013303672653758,0.000766935502217,-1.0478477608530403,440,351,0.375,-0.4624999999999999,30.0,60.0,90.0,120.0,0.1,0.124,0.06,0.03
"0:30.0,1:90.0,2:60.0,3:120.0,4:10.0,5:10.0",0.1099159500579006,-0.1192776263307555,0.1048432428202553,0.0013303672653754,0.000766935502217,-1.047847760853041,414,369,0.2937499999999999,-0.5375000000000001,30.0,90.0,60.0,120.0,0.1,0.124,0.06,0.03
"0:30.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.0899322898378693,-0.0846129194974037,0.0941229174131164,0.0014762966109733,0.0008510613449136,-1.0478478789096386,385,382,0.203125,-0.5916666666666666,30.0,120.0,30.0,120.0,0.1,0.124,0.06,0.03
"0:30.0,1:150.0,2:30.0,3:90.0,4:10.0,5:10.0",0.0837010665298747,-0.0738039121981255,0.1273357167785603,0.0014762967500071,0.0008510614250638,-1.0478478789097574,380,395,0.1875,-0.6458333333333333,30.0,150.0,30.0,90.0,0.1,0.124,0.06,0.03
"0:30.0,1:170.0,2:10.0,3:90.0,4:10.0,5:10.0",0.0789401509201896,-0.0655453778730302,0.1014328348205561,0.0004444186616706,0.0002562003794321,-1.047847307630114,371,393,0.159375,-0.6375,30.0,170.0,10.0,90.0,0.1,0.124,0.06,0.03
"0:60.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.2429039538549086,-0.1161259907852024,0.1014327429443124,0.0002567096439721,0.0004441246896599,-0.5240953668206836,411,263,0.284375,-0.0958333333333334,60.0,10.0,170.0,90.0,0.1,0.124,0.06,0.03
"0:60.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.2347238946980563,-0.1113978143032582,0.1272531141477207,0.00085275397415,0.0014753197295093,-0.5240959388576696,411,270,0.284375,-0.125,60.0,30.0,150.0,90.0,0.1,0.124,0.06,0.03
"0:60.0,1:60.0,2:90.0,3:120.0,4:10.0,5:10.0",0.1948236791049697,-0.0883349907497326,0.0941054156990897,0.0007684605885751,0.0013294869123351,-0.5240958206443843,388,300,0.2124999999999999,-0.25,60.0,60.0,90.0,120.0,0.1,0.124,0.06,0.03
"0:60.0,1:90.0,2:60.0,3:120.0,4:10.0,5:10.0",0.1601982678713808,-0.0683210700759137,0.1048432428202552,0.0007684605885751,0.0013294869123356,-0.5240958206443846,373,329,0.1656249999999999,-0.3708333333333333,60.0,90.0,60.0,120.0,0.1,0.124,0.06,0.03
"0:60.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.1255564897503523,-0.0482976891364882,0.0941229174131163,0.0008527538938398,0.0014753195905682,-0.5240959388575516,357,354,0.115625,-0.4750000000000001,60.0,120.0,30.0,120.0,0.1,0.124,0.06,0.03
"0:60.0,1:150.0,2:30.0,3:90.0,4:10.0,5:10.0",0.1147546319884964,-0.0420540802760159,0.1273357167785601,0.0008527539741498,0.0014753197295098,-0.5240959388576703,354,369,0.1062499999999999,-0.5375000000000001,60.0,150.0,30.0,90.0,0.1,0.124,0.06,0.03
"0:60.0,1:170.0,2:10.0,3:90.0,4:10.0,5:10.0",0.1065015602094646,-0.0372837015854439,0.1014328348205559,0.0002567096439722,0.0004441246896599,-0.5240953668206836,349,371,0.0906249999999999,-0.5458333333333334,60.0,170.0,10.0,90.0,0.1,0.124,0.06,0.03
"0:90.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.2737829874361414,0.0008803472228259,0.1014327429443124,2.6254829213296017e-07,0.0005129780775135,-0.0005118118933316,318,238,-0.0062499999999999,0.0083333333333333,90.0,10.0,170.0,90.0,0.1,0.124,0.06,0.03
"0:90.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.2643347602336511,0.000885182937662,0.1272531141477208,8.721493496407707e-07,0.0017040411839133,-0.0005118125690805,319,246,-0.003125,-0.0249999999999999,90.0,30.0,150.0,90.0,0.1,0.124,0.06,0.03
"0:90.0,1:60.0,2:90.0,3:120.0,4:10.0,5:10.0",0.2182487484917797,0.0009087703055475,0.0941054156990895,7.859387257544494e-07,0.0015355996094805,-0.0005118124294346,318,282,-0.0062499999999999,-0.175,90.0,60.0,90.0,120.0,0.1,0.124,0.06,0.03
"0:90.0,1:90.0,2:60.0,3:120.0,4:10.0,5:10.0",0.1782553027181512,0.0009292394258428,0.1048432428202551,7.859387260876694e-07,0.0015355996094805,-0.0005118124294348,318,314,-0.0062499999999999,-0.3083333333333333,90.0,90.0,60.0,120.0,0.1,0.124,0.06,0.03
"0:90.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.1382429526715612,0.0009497182215716,0.0941229174131163,8.721492679383946e-07,0.0017040410234315,-0.0005118125690807,318,345,-0.0062499999999999,-0.4375,90.0,120.0,30.0,120.0,0.1,0.124,0.06,0.03
