raw_motor_0,raw_motor_1,raw_motor_2,raw_motor_3,motor_0,motor_1,motor_2,motor_3,x_expected,y_expected,z_expected,x_img,y_img,x_screen,y_screen
-1.3089969,1.9192445,-2.0817986,0.33708704,6.0,100.0,170.0,70.0,0.031754415,-0.118509084,0.08,492.5,372.5,0.5390625,-0.5520833333333333
-1.3089969,1.654161,-1.8631829,0.3835549,6.0,85.0,157.0,72.0,0.038160935,-0.14241853,0.08,528.5,368.25,0.6515625,-0.534375
-1.3089969,1.4034688,-1.6038476,0.3749117,6.0,71.0,142.0,72.0,0.04468303,-0.16675933,0.08,571.25,364.0,0.78515625,-0.5166666666666666
-1.3089969,1.4034688,-1.6038476,0.3749117,6.0,71.0,142.0,72.0,0.04468303,-0.16675933,0.08,571.25,364.0,0.78515625,-0.5166666666666666
-1.3089969,1.654161,-1.8631829,0.3835549,6.0,85.0,157.0,72.0,0.038160935,-0.14241853,0.08,532.0,368.75,0.6625000000000001,-0.5364583333333333
-1.3089969,1.7374932,-1.9379582,0.37499797,6.0,90.0,162.0,72.0,0.03607743,-0.13464278,0.08,515.5,370.25,0.6109374999999999,-0.5427083333333333
-1.3089969,1.4343998,-1.6386306,0.37876368,6.0,73.0,144.0,72.0,0.043866888,-0.16371343,0.08,566.25,364.5,0.76953125,-0.51875
-1.3089969,1.1848735,-1.3364437,0.32610318,6.0,58.0,127.0,69.0,0.050388984,-0.18805423,0.08,609.25,359.5,0.9039062499999999,-0.49791666666666656
-1.3089969,1.1848735,-1.3364437,0.32610318,6.0,58.0,127.0,69.0,0.050388984,-0.18805423,0.08,609.25,359.25,0.9039062499999999,-0.49687499999999996
-1.3089969,1.1848733,-1.3364437,0.32610318,6.0,58.0,127.0,69.0,0.050388988,-0.18805423,0.08,609.25,359.25,0.9039062499999999,-0.49687499999999996
-1.3089969,1.1848733,-1.3364437,0.32610318,6.0,58.0,127.0,69.0,0.050388988,-0.18805423,0.08,609.25,359.5,0.9039062499999999,-0.49791666666666656
-1.3089969,1.4343997,-1.6386304,0.37876365,6.0,73.0,144.0,72.0,0.043866888,-0.16371344,0.08,569.25,365.25,0.7789062499999999,-0.5218750000000001
-1.3089969,1.737493,-1.9379581,0.37499797,6.0,90.0,162.0,72.0,0.036077432,-0.1346428,0.08,515.5,370.25,0.6109374999999999,-0.5427083333333333
-1.3089969,1.737493,-1.9379581,0.37499797,6.0,90.0,162.0,72.0,0.036077432,-0.1346428,0.08,515.25,370.25,0.61015625,-0.5427083333333333
-1.3089969,1.4343997,-1.6386304,0.37876365,6.0,73.0,144.0,72.0,0.043866888,-0.16371344,0.08,566.25,364.75,0.76953125,-0.5197916666666667
-1.3089969,1.1848733,-1.3364437,0.32610318,6.0,58.0,127.0,69.0,0.050388988,-0.18805423,0.08,609.5,360.25,0.9046875000000001,-0.5010416666666666
-1.3089969,1.1848733,-1.3364437,0.32610318,6.0,58.0,127.0,69.0,0.050388988,-0.18805423,0.08,609.25,359.5,0.9039062499999999,-0.49791666666666656
-1.3089969,1.1848735,-1.3364437,0.32610318,6.0,58.0,127.0,69.0,0.050388984,-0.18805423,0.08,609.5,360.0,0.9046875000000001,-0.5
-1.3089969,1.1848735,-1.3364437,0.32610318,6.0,58.0,127.0,69.0,0.050388984,-0.18805423,0.08,609.5,359.75,0.9046875000000001,-0.4989583333333334
-1.3089969,1.4343998,-1.6386306,0.37876368,6.0,73.0,144.0,72.0,0.043866888,-0.16371343,0.08,568.75,365.0,0.77734375,-0.5208333333333333
-1.3089969,1.7374932,-1.9379582,0.37499797,6.0,90.0,162.0,72.0,0.03607743,-0.13464278,0.08,515.25,370.25,0.61015625,-0.5427083333333333
-1.3089969,1.654161,-1.8631829,0.3835549,6.0,85.0,157.0,72.0,0.038160935,-0.14241853,0.08,528.75,368.0,0.65234375,-0.5333333333333334
-1.3089969,1.4034688,-1.6038476,0.3749117,6.0,71.0,142.0,72.0,0.04468303,-0.16675933,0.08,571.25,364.0,0.78515625,-0.5166666666666666
-1.3089969,1.4034688,-1.6038476,0.3749117,6.0,71.0,142.0,72.0,0.04468303,-0.16675933,0.08,571.25,364.0,0.78515625,-0.5166666666666666
-1.3089969,1.654161,-1.8631829,0.3835549,6.0,85.0,157.0,72.0,0.038160935,-0.14241853,0.08,532.0,368.5,0.6625000000000001,-0.5354166666666667
-1.3089969,1.9192445,-2.0817986,0.33708704,6.0,100.0,170.0,70.0,0.031754415,-0.118509084,0.08,491.5,372.25,0.5359375,-0.5510416666666667
-1.3089969,1.9192445,-2.0817986,0.33708704,6.0,100.0,170.0,70.0,0.031754415,-0.118509084,0.08,491.5,372.25,0.5359375,-0.5510416666666667
-1.0908308,1.9192445,-2.0817986,0.33708704,18.0,100.0,170.0,70.0,0.056651767,-0.10882703,0.08,482.25,340.25,0.50703125,-0.41770833333333335
-1.0908308,1.9192445,-2.0817986,0.33708704,18.0,100.0,170.0,70.0,0.056651767,-0.10882703,0.08,482.25,340.25,0.50703125,-0.41770833333333335
-1.0908308,1.6541611,-1.8631831,0.3835549,18.0,85.0,157.0,72.0,0.06808137,-0.1307831,0.08,517.25,325.25,0.61640625,-0.35520833333333335
-1.0908308,1.4034688,-1.6038476,0.3749117,18.0,71.0,142.0,72.0,0.07971719,-0.15313528,0.08,555.75,311.25,0.7367187500000001,-0.296875
-1.0908308,1.4034688,-1.6038476,0.3749117,18.0,71.0,142.0,72.0,0.07971719,-0.15313528,0.08,555.75,311.25,0.7367187500000001,-0.296875
-1.0908308,1.6541611,-1.8631831,0.3835549,18.0,85.0,157.0,72.0,0.06808137,-0.1307831,0.08,519.5,326.0,0.6234375000000001,-0.3583333333333334
-1.0908308,1.7374932,-1.9379582,0.37499797,18.0,90.0,162.0,72.0,0.06436428,-0.12364263,0.08,503.75,331.25,0.57421875,-0.38020833333333326
-1.0908308,1.4343998,-1.6386306,0.37876368,18.0,73.0,144.0,72.0,0.07826113,-0.15033823,0.08,551.0,313.25,0.721875,-0.3052083333333333
-1.0908308,1.1848735,-1.3364438,0.3261032,18.0,58.0,127.0,69.0,0.08989694,-0.17269042,0.08,591.5,297.25,0.8484375,-0.23854166666666665
-1.0908308,1.1848735,-1.3364438,0.3261032,18.0,58.0,127.0,69.0,0.08989694,-0.17269042,0.08,591.5,297.25,0.8484375,-0.23854166666666665
-1.0908308,1.1848735,-1.3364438,0.3261032,18.0,58.0,127.0,69.0,0.08989695,-0.17269042,0.08,591.5,297.25,0.8484375,-0.23854166666666665
-1.0908308,1.1848735,-1.3364438,0.3261032,18.0,58.0,127.0,69.0,0.08989695,-0.17269042,0.08,591.5,297.25,0.8484375,-0.23854166666666665
-1.0908308,1.4343998,-1.6386306,0.37876368,18.0,73.0,144.0,72.0,0.07826113,-0.15033823,0.08,554.0,312.75,0.73125,-0.3031250000000001
-1.0908308,1.737493,-1.9379581,0.37499797,18.0,90.0,162.0,72.0,0.064364284,-0.12364264,0.08,504.5,331.25,0.5765625000000001,-0.38020833333333326
-1.0908308,1.737493,-1.9379581,0.37499797,18.0,90.0,162.0,72.0,0.064364284,-0.12364264,0.08,504.5,331.25,0.5765625000000001,-0.38020833333333326
-1.0908308,1.4343998,-1.6386306,0.37876368,18.0,73.0,144.0,72.0,0.07826113,-0.15033823,0.08,550.75,312.25,0.7210937500000001,-0.30104166666666665
-1.0908308,1.1848735,-1.3364438,0.3261032,18.0,58.0,127.0,69.0,0.08989695,-0.17269042,0.08,591.5,297.25,0.8484375,-0.23854166666666665
-1.0908308,1.1848735,-1.3364438,0.3261032,18.0,58.0,127.0,69.0,0.08989695,-0.17269042,0.08,591.5,297.25,0.8484375,-0.23854166666666665
-1.0908308,1.1848735,-1.3364438,0.3261032,18.0,58.0,127.0,69.0,0.08989694,-0.17269042,0.08,591.5,297.25,0.8484375,-0.23854166666666665
-1.0908308,1.1848735,-1.3364438,0.3261032,18.0,58.0,127.0,69.0,0.08989694,-0.17269042,0.08,591.25,297.25,0.84765625,-0.23854166666666665
-1.0908308,1.4343998,-1.6386306,0.37876368,18.0,73.0,144.0,72.0,0.07826113,-0.15033823,0.08,553.25,313.25,0.7289062500000001,-0.3052083333333333
-1.0908308,1.7374932,-1.9379582,0.37499797,18.0,90.0,162.0,72.0,0.06436428,-0.12364263,0.08,503.75,331.25,0.57421875,-0.38020833333333326
-1.0908308,1.6541611,-1.8631831,0.3835549,18.0,85.0,157.0,72.0,0.06808137,-0.1307831,0.08,517.25,326.0,0.61640625,-0.3583333333333334
-1.0908308,1.4034688,-1.6038476,0.3749117,18.0,71.0,142.0,72.0,0.07971719,-0.15313528,0.08,555.75,311.25,0.7367187500000001,-0.296875
-1.0908308,1.4034688,-1.6038476,0.3749117,18.0,71.0,142.0,72.0,0.07971719,-0.15313528,0.08,555.75,311.25,0.7367187500000001,-0.296875
-1.0908308,1.6541611,-1.8631831,0.3835549,18.0,85.0,157.0,72.0,0.06808137,-0.1307831,0.08,519.75,326.5,0.62421875,-0.3604166666666666
-1.0908308,1.9192445,-2.0817986,0.33708704,18.0,100.0,170.0,70.0,0.056651767,-0.10882703,0.08,482.25,340.25,0.50703125,-0.41770833333333335
-1.0908308,1.9192445,-2.0817986,0.33708704,18.0,100.0,170.0,70.0,0.056651767,-0.10882703,0.08,482.25,340.25,0.50703125,-0.41770833333333335
-0.87266463,1.9192445,-2.0817986,0.33708704,31.0,100.0,170.0,70.0,0.078863375,-0.093985714,0.08,467.0,314.0,0.4593750000000001,-0.30833333333333335
-0.87266463,1.9192445,-2.0817986,0.33708704,31.0,100.0,170.0,70.0,0.078863375,-0.093985714,0.08,467.25,313.75,0.46015625000000004,-0.30729166666666674
