raw_motor_0,raw_motor_1,raw_motor_2,raw_motor_3,motor_0,motor_1,motor_2,motor_3,x_expected,y_expected,z_expected,x_img,y_img,x_screen,y_screen
-1.3089969,1.654161,-1.8631829,0.3835549,6.0,85.0,157.0,72.0,0.038160935,-0.14241853,0.08,535.75,374.5,0.6742187500000001,-0.5604166666666666
-1.3089969,1.36696,-1.5617987,0.36937147,6.0,69.0,140.0,72.0,0.045646578,-0.17035533,0.08,583.25,369.75,0.8226562500000001,-0.5406249999999999
-1.3089969,1.654161,-1.8631829,0.3835549,6.0,85.0,157.0,72.0,0.038160935,-0.14241853,0.08,535.25,374.5,0.67265625,-0.5604166666666666
-1.3089969,1.8642542,-2.0410006,0.35127935,6.0,97.0,167.0,71.0,0.03302792,-0.12326186,0.08,503.75,377.75,0.57421875,-0.5739583333333333
-1.3089969,1.5624313,-1.7742883,0.3863899,6.0,80.0,152.0,73.0,0.040513564,-0.15119867,0.08,546.25,372.25,0.70703125,-0.5510416666666667
-1.3089969,1.5624313,-1.7742883,0.3863899,6.0,80.0,152.0,73.0,0.040513564,-0.15119867,0.08,546.25,372.25,0.70703125,-0.5510416666666667
-1.3089969,1.8642542,-2.0410006,0.35127935,6.0,97.0,167.0,71.0,0.03302792,-0.12326186,0.08,503.5,377.5,0.5734375,-0.5729166666666667
-1.3089969,1.654161,-1.8631829,0.3835549,6.0,85.0,157.0,72.0,0.038160935,-0.14241853,0.08,532.5,373.25,0.6640625,-0.5552083333333333
-1.3089969,1.36696,-1.5617987,0.36937147,6.0,69.0,140.0,72.0,0.045646578,-0.17035533,0.08,582.25,368.75,0.81953125,-0.5364583333333333
-1.3089969,1.654161,-1.8631829,0.3835549,6.0,85.0,157.0,72.0,0.038160935,-0.14241853,0.08,535.25,374.0,0.67265625,-0.5583333333333333
-1.0181087,1.6541611,-1.8631831,0.3835549,22.0,85.0,157.0,72.0,0.07740386,-0.12549077,0.08,516.75,319.25,0.6148437499999999,-0.33020833333333344
-1.0181087,1.3669602,-1.5617987,0.36937147,22.0,69.0,140.0,72.0,0.0925874,-0.15010704,0.08,558.25,298.5,0.7445312500000001,-0.2437499999999999
-1.0181087,1.6541611,-1.8631831,0.3835549,22.0,85.0,157.0,72.0,0.07740386,-0.12549077,0.08,516.75,319.0,0.6148437499999999,-0.3291666666666666
-1.0181087,1.8642544,-2.0410006,0.35127932,22.0,97.0,167.0,71.0,0.06699229,-0.108611055,0.08,488.75,332.75,0.52734375,-0.38645833333333335
-1.0181087,1.5624315,-1.7742884,0.3863899,22.0,80.0,152.0,73.0,0.08217583,-0.13322732,0.08,525.75,313.0,0.6429687500000001,-0.3041666666666667
-1.0181087,1.5624315,-1.7742884,0.3863899,22.0,80.0,152.0,73.0,0.08217583,-0.13322732,0.08,525.75,313.0,0.6429687500000001,-0.3041666666666667
-1.0181087,1.8642544,-2.0410006,0.35127932,22.0,97.0,167.0,71.0,0.06699229,-0.108611055,0.08,488.5,332.75,0.5265625,-0.38645833333333335
-1.0181087,1.6541611,-1.8631831,0.3835549,22.0,85.0,157.0,72.0,0.07740386,-0.12549077,0.08,514.25,319.0,0.6070312499999999,-0.3291666666666666
-1.0181087,1.3669602,-1.5617987,0.36937147,22.0,69.0,140.0,72.0,0.0925874,-0.15010704,0.08,558.25,297.75,0.7445312500000001,-0.2406250000000001
-1.0181087,1.6541611,-1.8631831,0.3835549,22.0,85.0,157.0,72.0,0.07740386,-0.12549077,0.08,516.5,319.25,0.6140625,-0.33020833333333344
