motor_control,world_x,world_y,world_z,world_p,world_q,world_r,x_img,y_img,x_screen,y_screen
"0:10.0,1:10.0,2:120.0,3:150.0,4:10.0,5:10.0",0.07339678490380241,-0.182960807875139,0.010830992537484832,-0.1714887095470378,-0.030193137961561346,-1.3982211418889843,448,379,0.3999999999999999,-0.5791666666666666
"0:10.0,1:10.0,2:120.0,3:170.0,4:10.0,5:10.0",0.0718750249421985,-0.17436254547078134,0.01910708624050267,-0.5163382504812313,-0.08715577488249744,-1.4186537863911486,443,381,0.3843749999999999,-0.5874999999999999
"0:10.0,1:10.0,2:150.0,3:60.0,4:10.0,5:10.0",0.0805516516000642,-0.22338730277245208,0.029403798781916103,0.8654636955245326,0.13394845104432082,-1.4575735799812009,479,378,0.49687499999999996,-0.575
"0:10.0,1:10.0,2:150.0,3:90.0,4:10.0,5:10.0",0.08101154278294562,-0.2259857842463086,0.047148995578735996,0.3445506061978342,0.059709684396961525,-1.4060181764383162,485,380,0.515625,-0.5833333333333333
"0:10.0,1:10.0,2:150.0,3:120.0,4:10.0,5:10.0",0.07986358283901548,-0.2194995702068809,0.06383631511273899,-0.171488709547038,-0.030193137961561207,-1.3982211418889843,484,384,0.5125,-0.6000000000000001
"0:10.0,1:10.0,2:150.0,3:150.0,4:10.0,5:10.0",0.0774153493775373,-0.20566653854613534,0.07499466649751724,-0.6901021195127551,-0.1121980313235942,-1.435989929012256,476,388,0.48750000000000004,-0.6166666666666667
"0:10.0,1:10.0,2:150.0,3:170.0,4:10.0,5:10.0",0.07537631120019445,-0.19414554591676714,0.07779621051491942,-1.0398605202988245,-0.15145107233215233,-1.4824383141387025,468,390,0.4624999999999999,-0.625
"0:10.0,1:10.0,2:170.0,3:60.0,4:10.0,5:10.0",0.08235285924473483,-0.23356450309605245,0.0838345485843986,0.5175251809079736,0.08733700908696138,-1.418757210474653,500,386,0.5625,-0.6083333333333334
"0:10.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.08172785131819897,-0.2300330774489469,0.10141277412677557,0.0005888783367368548,0.00010422238563057452,-1.395625722418924,502,390,0.5687500000000001,-0.625
"0:10.0,1:10.0,2:170.0,3:120.0,4:10.0,5:10.0",0.07965488230452734,-0.21832036848999672,0.11484298879889965,-0.516338250481232,-0.08715577488249761,-1.4186537863911486,496,395,0.55,-0.6458333333333333
"0:10.0,1:10.0,2:170.0,3:150.0,4:10.0,5:10.0",0.07668937062731011,-0.20156460660424075,0.12052679049806232,-1.0398605202988251,-0.15145107233215244,-1.4824383141387028,484,399,0.5125,-0.6625000000000001
"0:10.0,1:10.0,2:170.0,3:170.0,4:10.0,5:10.0",0.07460626957521918,-0.18979464950679728,0.11915989742719643,-1.3927850262524364,-0.17245753402002706,-1.539931884311345,474,400,0.48124999999999996,-0.6666666666666667
"0:10.0,1:30.0,2:90.0,3:120.0,4:10.0,5:10.0",0.06978826954492331,-0.1625719405579007,0.001494253061552181,0.5186226341399303,0.087504466853216,-1.4188530285006842,429,381,0.34062499999999996,-0.5874999999999999
"0:10.0,1:30.0,2:90.0,3:150.0,4:10.0,5:10.0",0.06916665067549635,-0.15905966379304978,0.019076429250623278,0.0016781277715729869,0.00029700261046530747,-1.3956259409359955,432,383,0.3500000000000001,-0.5958333333333334
"0:10.0,1:30.0,2:90.0,3:170.0,4:10.0,5:10.0",0.06792061077206157,-0.15201927744674532,0.028752169087446017,-0.3422755497233865,-0.05933188648692003,-1.4058828431705972,428,386,0.3374999999999999,-0.6083333333333334
"0:10.0,1:30.0,2:120.0,3:90.0,4:10.0,5:10.0",0.07777104506226579,-0.20767629363927528,0.047192584324684636,0.51862263413993,0.08750446685321611,-1.418853028500684,472,382,0.4750000000000001,-0.5916666666666666
"0:10.0,1:30.0,2:120.0,3:120.0,4:10.0,5:10.0",0.07714942619240672,-0.20416401687198338,0.06477476051873489,0.0016781276135470627,0.00029700258249727214,-1.3956259409359486,473,386,0.4781249999999999,-0.6083333333333334
"0:10.0,1:30.0,2:120.0,3:150.0,4:10.0,5:10.0",0.0750790475285063,-0.19246594393159963,0.07821812465517056,-0.5152407010035438,-0.08698807456173176,-1.4185583413456395,467,391,0.4593750000000001,-0.6291666666666667
"0:10.0,1:30.0,2:120.0,3:170.0,4:10.0,5:10.0",0.0731568328371663,-0.18160502845828225,0.08302283094150137,-0.8631554390704946,-0.13368797100829888,-1.457265614158754,459,393,0.43437499999999996,-0.6375
"0:10.0,1:30.0,2:150.0,3:60.0,4:10.0,5:10.0",0.08070243459785001,-0.22423925828046098,0.10967089483640771,0.5186227973628615,0.08750449175085373,-1.418853042765201,499,393,0.559375,-0.6375
"0:10.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.08008081578962864,-0.22072698186143455,0.1272530767158434,0.0016781277715728008,0.00029700261046474,-1.3956259409359952,501,398,0.565625,-0.6583333333333334
"0:10.0,1:30.0,2:150.0,3:120.0,4:10.0,5:10.0",0.07801043712529612,-0.20902890891860973,0.1406964408572582,-0.5152407010035432,-0.08698807456173253,-1.4185583413456397,495,403,0.546875,-0.6791666666666667
"0:10.0,1:30.0,2:150.0,3:150.0,4:10.0,5:10.0",0.07504602298752504,-0.19227934836052407,0.14639906197092833,-1.0387459158638734,-0.1513533671947309,-1.4822702045100893,482,407,0.5062500000000001,-0.6958333333333333
"0:10.0,1:30.0,2:150.0,3:170.0,4:10.0,5:10.0",0.07296265969982274,-0.18050790957697077,0.14504539173317835,-1.3916627341951275,-0.1724232914293701,-1.5397393134786133,472,408,0.4750000000000001,-0.7
"0:10.0,1:30.0,2:170.0,3:30.0,4:10.0,5:10.0",0.0792422226291295,-0.2159887549226355,0.1464251957739485,0.6925661303685313,0.11252977084682443,-1.4362662127919292,502,403,0.5687500000000001,-0.6791666666666667
"0:10.0,1:30.0,2:170.0,3:60.0,4:10.0,5:10.0",0.07916288935089408,-0.2155405052900653,0.16436538977247053,0.1737579726991322,0.030588428044893035,-1.3982900959884192,507,408,0.5843750000000001,-0.7
"0:10.0,1:30.0,2:170.0,3:90.0,4:10.0,5:10.0",0.07753123926776198,-0.2063213406906299,0.17966899514253531,-0.3422755497233865,-0.05933188648692039,-1.4058828431705968,503,413,0.5718749999999999,-0.7208333333333334
